case_id,category,lecture_scope,question,reference_answer,source_hint,required_terms,false_premise,expected_behavior
E028,concept,L5,"What does it mean that a convolution filter spans the full depth of the input?","A filter has spatial size such as 5x5 but extends across all input channels.","Lecture 5 convolution filter depth","spatial size;all input channels;full depth",no,answer
E029,formula,L5,"What is the formula for convolution output width given input width W, filter size F, padding P, and stride S?","The output width is (W - F + 2P) / S + 1 when the result is an integer.","Lecture 5 convolution output formula","W - F + 2P;S;+1",no,answer
E030,calculation,L5,"For a 32x32x3 image with 8 filters of size 5x5, stride 1, no padding, and no bias, what are the output shape and parameter count?","The output shape is 28x28x8 and the parameter count is 5*5*3*8 = 600.","Lecture 5 CNN shape and parameters","28x28x8;600",no,answer
E031,concept,L5,"Why does max pooling reduce computation?","It reduces the spatial resolution of feature maps while adding no learnable parameters.","Lecture 5 pooling","spatial resolution;no parameters",no,answer
E032,comparison,L5,"Why can stacking several 3x3 convolution layers be useful?","Stacking small filters grows the receptive field while adding nonlinearities and often using fewer parameters than large filters.","Lecture 5 receptive field and VGG","3x3;receptive field;nonlinearities",no,answer
E033,concept,L5,"What is the main idea of transfer learning for CNNs?","Use a model pretrained on a large dataset, replace or retrain the output layer, and optionally fine-tune selected layers for the new task.","Lecture 5 transfer learning","pretrained;replace output layer;fine-tune",no,answer
E034,false_premise,L5,"Since CNNs are naturally rotation invariant, why does training on upside-down images not hurt testing on normal images?","The premise is wrong. Standard CNNs are not naturally invariant to 180-degree rotation, so train-test distribution mismatch can hurt performance.","Lecture 5 CNN and augmentation discussion","premise is wrong;not rotation invariant;distribution mismatch",yes,correct_premise
E035,calculation,L5,"After a 28x28x8 feature map goes through 2x2 pooling with stride 2, what is the output shape?","The output shape is 14x14x8.","Lecture 5 pooling","14x14x8",no,answer
E036,concept,L5,"Why do shallow CNN layers tend to learn more generic features?","Early layers detect local low-level patterns such as edges or textures, while deeper layers learn more task-specific features.","Lecture 5 CNN feature hierarchy","shallow;generic;edges;textures;deeper;specific",no,answer
E037,concept,L6,"What problem can sigmoid or tanh saturation cause during training?","Saturation can make gradients very small, causing vanishing-gradient problems.","Lecture 6 activation functions","saturation;small gradients;vanishing gradient",no,answer
E038,concept,L6,"What image preprocessing is described in the training guide?","Common image preprocessing subtracts a mean and divides by a standard deviation, often per channel.","Lecture 6 data preprocessing","subtract mean;divide std;per channel",no,answer
E039,comparison,L6,"Why is horizontal flip often safer than upside-down augmentation for natural images?","Horizontal flips often preserve image semantics, while upside-down images can change the data distribution or semantics.","Lecture 6 data augmentation","horizontal flip;semantics;upside-down;distribution",no,answer
E040,concept,L6,"What is Kaiming initialization mainly designed for?","Kaiming initialization is designed for networks using ReLU-like activations.","Lecture 6 weight initialization","Kaiming;ReLU",no,answer
E041,concept,L6,"What can happen if the learning rate is too large?","Training can become unstable, overshoot good solutions, or fail to converge.","Lecture 6 learning rate","too large;unstable;overshoot;fail to converge",no,answer
E042,concept,L6,"What is dropout used for?","Dropout randomly disables units during training as a regularization method to reduce overfitting.","Lecture 6 dropout regularization","randomly disables;training;regularization;overfitting",no,answer
E043,concept,L6,"Why should a model be able to overfit a very small dataset during sanity checking?","If it cannot overfit a small dataset, there may be a bug in the data pipeline, model, loss, or optimizer setup.","Lecture 6 sanity checks","overfit small dataset;bug;pipeline",no,answer
E044,false_premise,L6,"Since the test set gives the most realistic performance, why should we tune the learning rate on the test set?","The premise is wrong. The test set should not be used for tuning; validation data should be used for hyperparameter selection.","Lecture 6 learning rate and evaluation protocol","premise is wrong;validation;test set;hyperparameter",yes,correct_premise
E045,concept,L7,"What are two key properties of sequential data discussed in Lecture 7?","Sequential data have variable sequence length and context dependence.","Lecture 7 sequential data","variable sequence length;context dependence",no,answer
E046,concept,L7,"What input does an RNN use at each time step?","At each time step an RNN uses the current input vector and the hidden state from the previous time step.","Lecture 7 RNN","current input;previous hidden state",no,answer
E047,concept,L7,"Why are RNN parameters shared across time?","The same recurrence function and parameter set are applied at each time step, allowing the model to process variable-length sequences.","Lecture 7 RNN shared weights","same function;same parameters;time step",no,answer
E048,comparison,L7,"Why was LSTM introduced compared with vanilla RNNs?","LSTMs use gates and a cell state to better preserve long-range information and reduce vanishing-gradient issues.","Lecture 7 LSTM","gates;cell state;long-range;vanishing gradient",no,answer
E049,concept,L8,"What problem does attention address in an encoder-decoder sequence model?","Attention reduces the bottleneck of compressing the whole input sequence into a single fixed-size vector by letting the decoder focus on relevant encoder states.","Lecture 8 attention","bottleneck;fixed-size vector;relevant encoder states",no,answer
E050,concept,L8,"What are attention weights?","Attention weights are normalized alignment scores, usually positive and summing to 1, that weight input or hidden vectors.","Lecture 8 attention weights","normalized;alignment scores;sum to 1",no,answer
E051,formula,L8,"In a general attention layer, how is the context vector computed from attention weights and input vectors?","The context vector is a weighted sum of input vectors, c = sum_i a_i x_i.","Lecture 8 general attention layer","weighted sum;attention weights;input vectors",no,answer
E052,comparison,L8,"Why are Transformers highly parallelizable compared with RNNs?","Transformers rely on attention over tokens rather than recurrent step-by-step state updates, so many token operations can be computed in parallel.","Lecture 8 Transformer","attention;not recurrent;parallel",no,answer
E053,concept,L8,"What is unsupervised learning according to the course structure?","Unsupervised learning uses data without labels to learn hidden structure, such as dimensionality reduction or clustering.","Lecture 8 unsupervised learning","no labels;hidden structure;dimensionality reduction;clustering",no,answer
E054,concept,L8,"What is the goal of dimensionality reduction?","It learns a lower-dimensional representation that preserves useful structure in the data.","Lecture 8 unsupervised learning","lower-dimensional representation;preserve structure",no,answer
E055,concept,L9,"What is the task of a generative model?","A generative model learns a model distribution that approximates the data distribution and samples new data from it.","Lecture 9 generative models","model distribution;data distribution;sample new data",no,answer
E056,comparison,L9,"What is the difference between explicit-density and implicit-density generative models?","Explicit-density models define and optimize a probability model, while implicit-density models learn to generate samples without explicitly defining the density.","Lecture 9 generative models taxonomy","explicit density;probability model;implicit density;without explicitly defining",no,answer
E057,concept,L9,"What is autoregressive modeling in PixelCNN or PixelRNN?","It decomposes the joint likelihood into a product of conditional probabilities and generates each pixel conditioned on previous pixels.","Lecture 9 PixelRNN PixelCNN","joint likelihood;conditional probabilities;previous pixels",no,answer
E058,comparison,L9,"Why can PixelRNN generation be slow?","PixelRNN generates pixels sequentially, so both training or inference can be slow compared with more parallel methods.","Lecture 9 PixelRNN","sequentially;slow;generation",no,answer
E059,unanswerable,L2-L9,"What exact questions will appear in the final exam?","The available materials do not provide the exact final exam questions.","Course materials scope","not enough information;exact final exam",no,refuse
E060,unanswerable,L2-L9,"What private comments did the instructor make about grading after class?","The available course materials do not contain private after-class comments, so the system should refuse to invent them.","Course materials scope","not enough information;private comments",no,refuse
