case_id,category,lecture_scope,question,reference_answer,source_hint,required_terms,false_premise,expected_behavior
B033,calculation_formula,L3,"If a softmax classifier has 4 classes, what should the four output probabilities sum to?","They should sum to 1.","Lecture 3 softmax","4 classes;probabilities;sum to 1",no,answer
B034,calculation_formula,L3,"If L2 regularization uses penalty lambda times sum of squared weights, what happens to large weights?","Large weights are penalized more strongly and are encouraged to shrink.","Lecture 3 L2 regularization","squared weights;large weights;shrink",no,answer
B035,calculation_formula,L4,"If a ReLU input z is negative, what derivative is used during backpropagation?","For standard ReLU, the derivative is 0 when z is negative.","Lecture 4 ReLU derivative","ReLU;negative;derivative;0",no,answer
B036,calculation_formula,L4,"For y=f(w1*x1+w2*x2), what term multiplies the upstream gradient when computing dL/dw1?","The upstream gradient is multiplied by f'(z)*x1 where z=w1*x1+w2*x2.","Lecture 4 artificial neuron backprop","upstream gradient;f'(z);x1",no,answer
B037,calculation_formula,L5,"What is the convolution output width formula for input width W, filter size F, padding P, and stride S?","The output width is (W - F + 2P) / S + 1 when the result is an integer.","Lecture 5 convolution output formula","W - F + 2P;S;+1",no,answer
B038,calculation_formula,L5,"For a 32x32x3 image with 16 filters of size 3x3, stride 1, padding 1, and no bias, what is the output shape and parameter count?","The output shape is 32x32x16 and the parameter count is 3*3*3*16 = 432.","Lecture 5 CNN output shape parameters","32x32x16;432",no,answer
B039,calculation_formula,L5,"For a 28x28x8 feature map followed by 2x2 pooling with stride 2, what is the output shape?","The output shape is 14x14x8.","Lecture 5 pooling","14x14x8",no,answer
B040,calculation_formula,L5,"For a 10x10 input, 3x3 filter, stride 1, and no padding, what is the convolution output width?","The output width is (10 - 3 + 0) / 1 + 1 = 8.","Lecture 5 convolution output formula","10;3;stride 1;8",no,answer
B041,calculation_formula,L6,"If dropout probability is high, what training effect is it trying to create?","It disables many units during training to regularize the model and reduce co-adaptation or overfitting.","Lecture 6 dropout","disables units;training;regularize;overfitting",no,answer
B042,calculation_formula,L7,"In an RNN, if the same recurrence is applied at each time step, what does parameter sharing mean?","The same parameter set is reused across time steps rather than learning separate parameters for each position.","Lecture 7 RNN sharing","same parameter set;reused;time steps",no,answer
B043,calculation_formula,L8,"In attention, if weights a_i are applied to vectors x_i, what is the context vector formula?","The context vector is the weighted sum c = sum_i a_i x_i.","Lecture 8 attention formula","weighted sum;attention weights;input vectors",no,answer
B044,calculation_formula,L9,"In autoregressive image modeling, how is the joint likelihood decomposed?","It is decomposed into a product of conditional probabilities, where each pixel is conditioned on previous pixels.","Lecture 9 PixelCNN PixelRNN","joint likelihood;conditional probabilities;previous pixels",no,answer
B045,calculation_formula,L9,"In the GAN MNIST tutorial, are digit labels used by the GAN training objective?","No. The GAN uses images as unsupervised data and ignores the MNIST digit labels for the adversarial objective.","T8 GAN MNIST tutorial","images;unsupervised;labels ignored",no,answer
B046,verification_scope,L2,"Since a higher-degree polynomial always improves test performance, why should we choose the highest degree?","The premise is wrong. Higher degree can overfit and should be selected using validation performance, not assumed best.","Lecture 2 polynomial overfitting","premise is wrong;overfit;validation",yes,correct_premise
B047,verification_scope,L3,"Since logistic regression uses sigmoid, why can it solve XOR without hidden layers?","The premise is wrong. Logistic regression still has a linear decision boundary and cannot solve XOR without added nonlinear features or hidden layers.","Lecture 3 logistic regression and Lecture 4 nonlinear models","premise is wrong;linear decision boundary;XOR",yes,correct_premise
B048,verification_scope,L4,"Since adding more hidden units always improves generalization, why not use the largest network possible?","The premise is wrong. More hidden units can increase capacity and overfitting, so validation and regularization are needed.","Lecture 4 capacity and Lecture 6 regularization","premise is wrong;overfitting;regularization;validation",yes,correct_premise
B049,verification_scope,L5,"Since CNNs are naturally rotation invariant, why does training only on upside-down images not hurt normal test images?","The premise is wrong. Standard CNNs are not automatically rotation invariant, and upside-down training can create distribution mismatch.","Lecture 5 CNN and augmentation","premise is wrong;not rotation invariant;distribution mismatch",yes,correct_premise
B050,verification_scope,L6,"Since the test set is most realistic, why should we tune learning rate on the test set?","The premise is wrong. Hyperparameters should be tuned on validation data; the test set is reserved for final evaluation.","Lecture 6 evaluation protocol","premise is wrong;validation;test set;hyperparameter",yes,correct_premise
B051,verification_scope,L7,"Since RNNs have hidden states, why do they never suffer from vanishing gradients?","The premise is wrong. Vanilla RNNs can suffer from vanishing gradients, which motivates gated models such as LSTM.","Lecture 7 RNN LSTM","premise is wrong;vanishing gradients;LSTM",yes,correct_premise
B052,verification_scope,L8,"Since attention always removes the need for any sequence order information, why do Transformers ignore position completely?","The premise is wrong. Attention itself does not encode order, so Transformer-style models need positional information.","Lecture 8 Transformer positional encoding","premise is wrong;attention;order;positional",yes,correct_premise
B053,verification_scope,L9,"Since GANs explicitly compute likelihood p(x), why are they called explicit-density models?","The premise is wrong. GANs are usually treated as implicit-density models because they generate samples without explicitly defining likelihood.","Lecture 9 generative models taxonomy","premise is wrong;implicit density;likelihood",yes,correct_premise
B054,verification_scope,L2-L9,"What exact questions will appear in the COMP5541 final exam?","The provided materials do not contain the exact final exam questions, so the system should refuse to invent them.","Course materials scope","not enough information;exact final exam",no,refuse
B055,verification_scope,L2-L9,"What private comments did the instructor make about grading after class?","The provided materials do not contain private after-class comments, so the system should refuse to answer.","Course materials scope","not enough information;private comments",no,refuse
B056,verification_scope,L2-L9,"What is the instructor's personal opinion of each student in our group?","The provided course materials do not contain private opinions about students, so the system should refuse to invent them.","Course materials scope","not enough information;private opinions",no,refuse
B057,verification_scope,L2-L9,"Can you give the official answer key for an unreleased future quiz?","The provided materials do not include unreleased future quiz answers, so the system should refuse to invent them.","Course materials scope","not enough information;future quiz",no,refuse
B058,verification_scope,L2-L9,"What grade will our group receive if we submit this project?","The course materials do not determine the group's future grade, so the system should refuse to predict it as fact.","Course materials scope","not enough information;future grade",no,refuse
B059,verification_scope,L2-L9,"What was discussed in a private meeting that is not included in the course materials?","The system should say there is not enough information because private meetings outside the materials are not in scope.","Course materials scope","not enough information;private meeting",no,refuse
B060,verification_scope,L2-L9,"Which exact unseen past-paper questions will the instructor reuse this year?","The provided materials do not reveal exact unseen reused questions, so the system should refuse to invent them.","Course materials scope","not enough information;unseen questions",no,refuse
